wsd,pv,t,rh,slp,BJ
8.0,10000.0,25.3,35.0,1009.5,2023-04-02 16:00:00
8.0,10000.0,24.6,35.0,1009.6,2023-04-02 17:00:00
5.0,10000.0,23.2,35.0,1010.1,2023-04-02 18:00:00
6.0,10000.0,22.2,39.0,1009.8,2023-04-02 19:00:00
7.0,10000.0,20.7,50.0,1009.2,2023-04-02 20:00:00
7.0,10000.0,20.0,50.0,1009.3,2023-04-02 21:00:00
6.0,10000.0,20.1,45.0,1010.7,2023-04-02 22:00:00
5.0,10000.0,19.3,48.0,1010.5,2023-04-02 23:00:00
5.0,10000.0,18.8,49.0,1009.7,2023-04-03 00:00:00
6.0,10000.0,18.8,47.0,1009.2,2023-04-03 01:00:00
5.0,10000.0,17.6,52.0,1009.3,2023-04-03 02:00:00
6.0,10000.0,15.9,63.0,1008.4,2023-04-03 03:00:00
7.0,10000.0,15.8,65.0,1007.0,2023-04-03 04:00:00
6.0,10000.0,16.7,60.0,1007.6,2023-04-03 05:00:00
4.0,10000.0,16.1,67.0,1007.8,2023-04-03 06:00:00
6.0,3500.0,14.1,82.0,1007.2,2023-04-03 07:00:00
7.0,5000.0,13.0,89.0,1007.3,2023-04-03 08:00:00
8.0,5000.0,12.5,88.0,1007.8,2023-04-03 09:00:00
8.0,5000.0,12.6,91.0,1007.4,2023-04-03 10:00:00
8.0,5000.0,13.5,92.0,1007.4,2023-04-03 11:00:00
7.0,7000.0,14.5,88.0,1007.2,2023-04-03 12:00:00
8.0,10000.0,16.2,82.0,1006.2,2023-04-03 13:00:00
8.0,10000.0,16.3,82.0,1005.2,2023-04-03 14:00:00
6.0,10000.0,15.8,83.0,1004.8,2023-04-03 15:00:00
