wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
3.0,10000.0,5.5,26.0,1033.9,2023-11-30 16:00:00,334,16
2.0,10000.0,5.1,27.0,1033.9,2023-11-30 17:00:00,334,17
3.0,10000.0,4.7,35.0,1034.8,2023-11-30 18:00:00,334,18
2.0,10000.0,4.2,42.0,1034.9,2023-11-30 19:00:00,334,19
1.0,10000.0,4.2,46.0,1034.8,2023-11-30 20:00:00,334,20
2.0,10000.0,4.2,44.0,1034.9,2023-11-30 21:00:00,334,21
2.0,10000.0,4.0,43.0,1035.2,2023-11-30 22:00:00,334,22
2.0,10000.0,3.6,44.0,1035.4,2023-11-30 23:00:00,334,23
1.0,10000.0,2.7,45.0,1035.2,2023-12-01 00:00:00,335,0
2.0,10000.0,2.3,52.0,1034.8,2023-12-01 01:00:00,335,1
1.0,10000.0,0.9,58.0,1034.6,2023-12-01 02:00:00,335,2
1.0,10000.0,-0.2,75.0,1034.2,2023-12-01 03:00:00,335,3
0.0,10000.0,-0.5,76.0,1033.6,2023-12-01 04:00:00,335,4
0.0,10000.0,-2.2,91.0,1033.9,2023-12-01 05:00:00,335,5
2.0,10000.0,-2.6,77.0,1034.2,2023-12-01 06:00:00,335,6
1.0,10000.0,-1.5,75.0,1034.5,2023-12-01 07:00:00,335,7
2.0,10000.0,0.6,71.0,1034.6,2023-12-01 08:00:00,335,8
2.0,10000.0,3.7,43.0,1034.6,2023-12-01 09:00:00,335,9
2.0,10000.0,5.4,42.0,1034.8,2023-12-01 10:00:00,335,10
2.0,10000.0,6.5,35.0,1034.2,2023-12-01 11:00:00,335,11
3.0,10000.0,7.6,30.0,1033.0,2023-12-01 12:00:00,335,12
3.0,10000.0,8.6,29.0,1032.0,2023-12-01 13:00:00,335,13
3.0,10000.0,9.3,24.0,1031.1,2023-12-01 14:00:00,335,14
4.0,10000.0,9.2,22.0,1030.8,2023-12-01 15:00:00,335,15
