wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
3.0,10000.0,20.2,72.0,1021.3,2023-10-08 16:00:00,281,16
3.0,10000.0,19.9,78.0,1021.2,2023-10-08 17:00:00,281,17
3.0,10000.0,18.8,81.0,1021.6,2023-10-08 18:00:00,281,18
2.0,10000.0,17.9,85.0,1022.1,2023-10-08 19:00:00,281,19
3.0,10000.0,17.3,88.0,1022.5,2023-10-08 20:00:00,281,20
2.0,10000.0,17.1,90.0,1022.9,2023-10-08 21:00:00,281,21
2.0,10000.0,16.7,91.0,1023.7,2023-10-08 22:00:00,281,22
2.0,10000.0,16.8,90.0,1023.2,2023-10-08 23:00:00,281,23
0.0,7000.0,15.8,94.0,1022.6,2023-10-09 00:00:00,282,0
1.0,8000.0,16.3,94.0,1022.5,2023-10-09 01:00:00,282,1
1.0,7000.0,16.2,93.0,1022.4,2023-10-09 02:00:00,282,2
0.0,4000.0,15.4,96.0,1022.5,2023-10-09 03:00:00,282,3
0.0,4000.0,15.3,97.0,1022.3,2023-10-09 04:00:00,282,4
0.0,3500.0,15.5,97.0,1022.3,2023-10-09 05:00:00,282,5
0.0,3500.0,15.5,97.0,1022.9,2023-10-09 06:00:00,282,6
2.0,2900.0,15.8,97.0,1023.4,2023-10-09 07:00:00,282,7
0.0,5000.0,17.0,91.0,1023.8,2023-10-09 08:00:00,282,8
1.0,8000.0,17.9,85.0,1024.5,2023-10-09 09:00:00,282,9
2.0,10000.0,19.5,77.0,1024.4,2023-10-09 10:00:00,282,10
2.0,10000.0,20.6,69.0,1024.3,2023-10-09 11:00:00,282,11
2.0,10000.0,21.7,57.0,1024.0,2023-10-09 12:00:00,282,12
3.0,10000.0,22.5,57.0,1023.5,2023-10-09 13:00:00,282,13
2.0,10000.0,22.5,57.0,1023.0,2023-10-09 14:00:00,282,14
2.0,10000.0,22.9,56.0,1022.6,2023-10-09 15:00:00,282,15
