wsd,pv,t,rh,slp,BJ
4.0,3000.0,6.2,95.0,1020.4,2023-02-09 16:00:00
4.0,2200.0,5.8,96.0,1021.0,2023-02-09 17:00:00
4.0,2400.0,5.5,96.0,1021.5,2023-02-09 18:00:00
4.0,2200.0,5.3,97.0,1021.9,2023-02-09 19:00:00
3.0,2500.0,5.1,97.0,1022.3,2023-02-09 20:00:00
3.0,1400.0,5.0,98.0,1023.0,2023-02-09 21:00:00
3.0,1600.0,5.0,98.0,1023.4,2023-02-09 22:00:00
4.0,1600.0,4.9,98.0,1023.8,2023-02-09 23:00:00
4.0,1800.0,4.8,98.0,1023.9,2023-02-10 00:00:00
4.0,3000.0,4.7,98.0,1023.8,2023-02-10 01:00:00
4.0,3500.0,4.6,97.0,1023.5,2023-02-10 02:00:00
3.0,3500.0,4.5,97.0,1023.2,2023-02-10 03:00:00
4.0,4000.0,4.4,96.0,1022.5,2023-02-10 04:00:00
3.0,3000.0,4.3,97.0,1022.5,2023-02-10 05:00:00
3.0,3000.0,4.3,97.0,1023.0,2023-02-10 06:00:00
2.0,1800.0,4.3,97.0,1023.4,2023-02-10 07:00:00
2.0,1600.0,4.4,97.0,1024.2,2023-02-10 08:00:00
2.0,1800.0,4.4,96.0,1024.1,2023-02-10 09:00:00
1.0,1800.0,4.6,96.0,1025.3,2023-02-10 10:00:00
3.0,3500.0,5.1,93.0,1024.4,2023-02-10 11:00:00
3.0,5000.0,5.8,89.0,1023.8,2023-02-10 12:00:00
4.0,4500.0,6.0,86.0,1023.3,2023-02-10 13:00:00
3.0,5000.0,6.0,85.0,1022.5,2023-02-10 14:00:00
3.0,5000.0,6.0,84.0,1021.1,2023-02-10 15:00:00
