wsd,pv,t,rh,slp,BJ
3.0,2400.0,21.0,99.0,1017.6,2021-10-14 16:00:00
5.0,2000.0,20.5,99.0,1017.6,2021-10-14 17:00:00
7.0,2800.0,19.7,99.0,1018.1,2021-10-14 18:00:00
7.0,2700.0,18.8,98.0,1018.9,2021-10-14 19:00:00
5.0,1400.0,18.2,99.0,1019.8,2021-10-14 20:00:00
4.0,1400.0,18.0,99.0,1020.1,2021-10-14 21:00:00
3.0,1400.0,18.0,99.0,1020.5,2021-10-14 22:00:00
4.0,1100.0,17.2,98.0,1020.7,2021-10-14 23:00:00
4.0,1100.0,16.1,98.0,1020.5,2021-10-15 00:00:00
5.0,1100.0,15.9,98.0,1020.1,2021-10-15 01:00:00
5.0,1000.0,15.8,99.0,1020.0,2021-10-15 02:00:00
4.0,1000.0,15.6,99.0,1019.8,2021-10-15 03:00:00
5.0,1000.0,15.4,99.0,1019.9,2021-10-15 04:00:00
4.0,1000.0,15.5,99.0,1019.9,2021-10-15 05:00:00
4.0,1000.0,15.5,99.0,1020.4,2021-10-15 06:00:00
4.0,1000.0,15.6,99.0,1020.8,2021-10-15 07:00:00
4.0,1000.0,15.9,99.0,1021.3,2021-10-15 08:00:00
5.0,1000.0,16.1,99.0,1021.7,2021-10-15 09:00:00
4.0,1000.0,16.5,99.0,1021.6,2021-10-15 10:00:00
5.0,900.0,16.5,99.0,1021.7,2021-10-15 11:00:00
6.0,900.0,16.4,99.0,1021.3,2021-10-15 12:00:00
6.0,1300.0,16.2,99.0,1020.9,2021-10-15 13:00:00
6.0,2500.0,16.4,98.0,1020.5,2021-10-15 14:00:00
6.0,2000.0,16.3,98.0,1020.8,2021-10-15 15:00:00
