wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
6.0,800.0,9.6,98.0,1012.4,2022-11-28 16:00:00,332,16
5.0,1200.0,9.4,98.0,1013.1,2022-11-28 17:00:00,332,17
6.0,5000.0,9.6,96.0,1014.3,2022-11-28 18:00:00,332,18
8.0,7000.0,9.4,95.0,1015.8,2022-11-28 19:00:00,332,19
6.0,6000.0,9.3,95.0,1016.3,2022-11-28 20:00:00,332,20
6.0,4700.0,9.3,93.0,1017.2,2022-11-28 21:00:00,332,21
5.0,5000.0,9.3,93.0,1017.4,2022-11-28 22:00:00,332,22
6.0,3500.0,9.0,96.0,1018.2,2022-11-28 23:00:00,332,23
5.0,6000.0,9.2,95.0,1018.6,2022-11-29 00:00:00,333,0
4.0,7000.0,9.3,95.0,1019.1,2022-11-29 01:00:00,333,1
4.0,5000.0,9.3,96.0,1019.2,2022-11-29 02:00:00,333,2
5.0,5000.0,9.6,97.0,1019.2,2022-11-29 03:00:00,333,3
7.0,8000.0,9.3,90.0,1021.2,2022-11-29 04:00:00,333,4
6.0,10000.0,8.6,89.0,1020.5,2022-11-29 05:00:00,333,5
6.0,10000.0,9.5,83.0,1021.7,2022-11-29 06:00:00,333,6
4.0,9000.0,9.4,91.0,1023.0,2022-11-29 07:00:00,333,7
5.0,10000.0,9.0,86.0,1023.5,2022-11-29 08:00:00,333,8
6.0,10000.0,9.6,82.0,1024.6,2022-11-29 09:00:00,333,9
5.0,8000.0,9.3,76.0,1026.0,2022-11-29 10:00:00,333,10
6.0,8000.0,9.5,76.0,1025.6,2022-11-29 11:00:00,333,11
6.0,6000.0,9.2,77.0,1025.9,2022-11-29 12:00:00,333,12
5.0,5000.0,9.1,80.0,1025.5,2022-11-29 13:00:00,333,13
7.0,8000.0,8.1,76.0,1025.3,2022-11-29 14:00:00,333,14
7.0,10000.0,6.8,73.0,1027.2,2022-11-29 15:00:00,333,15
