wsd,pv,t,rh,slp,BJ
7.0,8000.0,6.9,91.0,1016.1,2022-03-17 16:00:00
6.0,10000.0,6.6,87.0,1016.4,2022-03-17 17:00:00
5.0,10000.0,6.7,87.0,1017.1,2022-03-17 18:00:00
4.0,10000.0,6.4,89.0,1017.3,2022-03-17 19:00:00
5.0,6000.0,5.8,89.0,1018.2,2022-03-17 20:00:00
6.0,3500.0,5.4,93.0,1019.2,2022-03-17 21:00:00
5.0,4500.0,4.9,91.0,1019.8,2022-03-17 22:00:00
4.0,5000.0,4.9,90.0,1019.9,2022-03-17 23:00:00
4.0,7000.0,4.6,87.0,1019.7,2022-03-18 00:00:00
3.0,10000.0,4.8,83.0,1018.6,2022-03-18 01:00:00
3.0,10000.0,4.7,84.0,1018.9,2022-03-18 02:00:00
3.0,10000.0,4.9,83.0,1018.4,2022-03-18 03:00:00
3.0,10000.0,4.9,83.0,1018.1,2022-03-18 04:00:00
2.0,10000.0,5.3,83.0,1018.0,2022-03-18 05:00:00
2.0,10000.0,5.6,79.0,1017.6,2022-03-18 06:00:00
2.0,10000.0,5.8,83.0,1017.4,2022-03-18 07:00:00
3.0,10000.0,6.1,83.0,1016.3,2022-03-18 08:00:00
1.0,10000.0,6.7,78.0,1017.3,2022-03-18 09:00:00
1.0,10000.0,8.4,74.0,1016.8,2022-03-18 10:00:00
1.0,10000.0,8.8,73.0,1016.2,2022-03-18 11:00:00
3.0,8000.0,8.5,76.0,1016.8,2022-03-18 12:00:00
2.0,8000.0,8.9,73.0,1014.8,2022-03-18 13:00:00
2.0,8000.0,9.8,71.0,1012.9,2022-03-18 14:00:00
3.0,8000.0,10.8,69.0,1012.5,2022-03-18 15:00:00
