wsd,pv,t,rh,slp,BJ
5.0,10000.0,22.6,29.0,1015.0,2022-03-09 16:00:00
5.0,10000.0,21.8,30.0,1015.1,2022-03-09 17:00:00
3.0,10000.0,20.5,33.0,1015.1,2022-03-09 18:00:00
3.0,10000.0,18.3,37.0,1015.2,2022-03-09 19:00:00
4.0,10000.0,17.7,38.0,1015.4,2022-03-09 20:00:00
3.0,10000.0,17.3,38.0,1015.5,2022-03-09 21:00:00
3.0,10000.0,15.9,44.0,1015.5,2022-03-09 22:00:00
3.0,10000.0,14.3,51.0,1015.6,2022-03-09 23:00:00
2.0,10000.0,13.6,53.0,1015.4,2022-03-10 00:00:00
3.0,10000.0,12.8,56.0,1015.1,2022-03-10 01:00:00
3.0,10000.0,13.7,53.0,1014.4,2022-03-10 02:00:00
3.0,10000.0,11.4,64.0,1014.1,2022-03-10 03:00:00
3.0,10000.0,9.5,73.0,1013.9,2022-03-10 04:00:00
4.0,8000.0,9.0,76.0,1014.0,2022-03-10 05:00:00
4.0,6000.0,8.1,80.0,1014.2,2022-03-10 06:00:00
5.0,6000.0,10.1,76.0,1014.4,2022-03-10 07:00:00
5.0,6000.0,14.2,64.0,1014.7,2022-03-10 08:00:00
4.0,10000.0,17.5,51.0,1015.3,2022-03-10 09:00:00
3.0,10000.0,20.5,40.0,1015.2,2022-03-10 10:00:00
2.0,10000.0,22.7,31.0,1014.5,2022-03-10 11:00:00
2.0,10000.0,24.2,27.0,1013.6,2022-03-10 12:00:00
1.0,10000.0,26.3,24.0,1012.5,2022-03-10 13:00:00
2.0,10000.0,26.5,23.0,1011.6,2022-03-10 14:00:00
2.0,10000.0,26.1,23.0,1010.9,2022-03-10 15:00:00
