wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
5.0,4500.0,9.1,66.0,1021.3,2021-01-24 16:00:00,24,16
4.0,4500.0,8.3,69.0,1020.9,2021-01-24 17:00:00,24,17
4.0,4000.0,7.9,76.0,1021.2,2021-01-24 18:00:00,24,18
4.0,4000.0,7.8,76.0,1021.3,2021-01-24 19:00:00,24,19
3.0,4000.0,7.7,77.0,1021.3,2021-01-24 20:00:00,24,20
3.0,3700.0,7.7,76.0,1021.4,2021-01-24 21:00:00,24,21
3.0,3600.0,7.5,80.0,1021.7,2021-01-24 22:00:00,24,22
3.0,3300.0,7.4,83.0,1021.3,2021-01-24 23:00:00,24,23
3.0,3300.0,7.5,85.0,1021.6,2021-01-25 00:00:00,25,0
2.0,2900.0,7.6,86.0,1022.1,2021-01-25 01:00:00,25,1
3.0,2900.0,7.7,87.0,1022.0,2021-01-25 02:00:00,25,2
2.0,2900.0,7.7,87.0,1021.9,2021-01-25 03:00:00,25,3
2.0,2900.0,7.7,88.0,1021.6,2021-01-25 04:00:00,25,4
2.0,2500.0,7.3,91.0,1021.6,2021-01-25 05:00:00,25,5
2.0,2000.0,7.2,93.0,1022.3,2021-01-25 06:00:00,25,6
1.0,1700.0,7.2,94.0,1022.8,2021-01-25 07:00:00,25,7
2.0,1400.0,7.3,94.0,1022.8,2021-01-25 08:00:00,25,8
2.0,1200.0,7.4,94.0,1023.0,2021-01-25 09:00:00,25,9
1.0,1200.0,7.7,94.0,1022.9,2021-01-25 10:00:00,25,10
2.0,1000.0,8.0,94.0,1022.5,2021-01-25 11:00:00,25,11
3.0,1000.0,8.0,93.0,1022.3,2021-01-25 12:00:00,25,12
5.0,400.0,7.4,96.0,1021.8,2021-01-25 13:00:00,25,13
5.0,700.0,7.0,97.0,1021.1,2021-01-25 14:00:00,25,14
6.0,700.0,6.3,97.0,1021.2,2021-01-25 15:00:00,25,15
