wsd,pv,t,rh,slp,BJ
5.0,10000.0,18.0,40.0,1019.0,2024-01-13 16:00:00
5.0,10000.0,16.6,45.0,1019.0,2024-01-13 17:00:00
4.0,10000.0,13.9,53.0,1019.2,2024-01-13 18:00:00
4.0,8000.0,13.7,54.0,1019.2,2024-01-13 19:00:00
5.0,8000.0,13.2,57.0,1019.3,2024-01-13 20:00:00
4.0,8000.0,11.4,61.0,1019.5,2024-01-13 21:00:00
5.0,9000.0,11.4,59.0,1019.3,2024-01-13 22:00:00
5.0,9000.0,8.9,67.0,1019.2,2024-01-13 23:00:00
4.0,9000.0,9.1,67.0,1019.3,2024-01-14 00:00:00
2.0,9000.0,8.8,67.0,1019.5,2024-01-14 01:00:00
1.0,9000.0,7.7,70.0,1019.7,2024-01-14 02:00:00
3.0,8000.0,6.3,76.0,1019.7,2024-01-14 03:00:00
2.0,10000.0,8.7,72.0,1019.9,2024-01-14 04:00:00
2.0,10000.0,10.3,62.0,1019.7,2024-01-14 05:00:00
2.0,10000.0,9.0,70.0,1020.7,2024-01-14 06:00:00
1.0,10000.0,9.4,67.0,1021.3,2024-01-14 07:00:00
3.0,10000.0,9.8,71.0,1022.3,2024-01-14 08:00:00
4.0,7000.0,10.9,71.0,1023.3,2024-01-14 09:00:00
6.0,3500.0,11.0,73.0,1024.2,2024-01-14 10:00:00
6.0,2000.0,10.7,76.0,1024.8,2024-01-14 11:00:00
8.0,1600.0,9.5,79.0,1025.0,2024-01-14 12:00:00
7.0,1400.0,8.9,79.0,1025.1,2024-01-14 13:00:00
6.0,1200.0,8.0,80.0,1025.3,2024-01-14 14:00:00
7.0,1000.0,7.4,80.0,1026.2,2024-01-14 15:00:00
