wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
1.0,10000.0,14.0,19.0,1022.8,2021-01-18 16:00:00,18,16
1.0,10000.0,12.9,20.0,1023.1,2021-01-18 17:00:00,18,17
3.0,10000.0,9.6,29.0,1023.6,2021-01-18 18:00:00,18,18
4.0,10000.0,7.9,31.0,1024.1,2021-01-18 19:00:00,18,19
4.0,10000.0,7.6,34.0,1024.3,2021-01-18 20:00:00,18,20
3.0,10000.0,4.0,46.0,1024.4,2021-01-18 21:00:00,18,21
2.0,10000.0,4.3,46.0,1024.5,2021-01-18 22:00:00,18,22
4.0,10000.0,5.3,44.0,1024.3,2021-01-18 23:00:00,18,23
4.0,10000.0,5.1,47.0,1024.2,2021-01-19 00:00:00,19,0
4.0,10000.0,5.0,49.0,1024.1,2021-01-19 01:00:00,19,1
4.0,10000.0,4.4,51.0,1024.2,2021-01-19 02:00:00,19,2
5.0,10000.0,4.7,49.0,1024.1,2021-01-19 03:00:00,19,3
4.0,10000.0,4.7,45.0,1023.9,2021-01-19 04:00:00,19,4
5.0,10000.0,4.7,41.0,1023.8,2021-01-19 05:00:00,19,5
4.0,10000.0,4.2,41.0,1024.0,2021-01-19 06:00:00,19,6
4.0,10000.0,3.2,43.0,1024.1,2021-01-19 07:00:00,19,7
4.0,10000.0,3.1,46.0,1024.3,2021-01-19 08:00:00,19,8
5.0,10000.0,5.7,38.0,1024.7,2021-01-19 09:00:00,19,9
5.0,10000.0,8.6,30.0,1024.8,2021-01-19 10:00:00,19,10
6.0,10000.0,10.4,24.0,1024.5,2021-01-19 11:00:00,19,11
5.0,10000.0,12.6,22.0,1023.5,2021-01-19 12:00:00,19,12
5.0,10000.0,13.3,20.0,1022.6,2021-01-19 13:00:00,19,13
5.0,10000.0,14.0,18.0,1021.9,2021-01-19 14:00:00,19,14
5.0,10000.0,14.0,16.0,1021.5,2021-01-19 15:00:00,19,15
