wsd,pv,t,rh,slp,BJ
3.0,5000.0,13.0,28.0,1020.1,2021-01-15 16:00:00
2.0,5000.0,11.1,34.0,1021.1,2021-01-15 17:00:00
3.0,6000.0,9.3,30.0,1022.3,2021-01-15 18:00:00
4.0,8000.0,8.0,27.0,1022.9,2021-01-15 19:00:00
3.0,7000.0,6.1,32.0,1023.8,2021-01-15 20:00:00
3.0,6000.0,5.5,40.0,1025.5,2021-01-15 21:00:00
3.0,5000.0,3.3,52.0,1026.3,2021-01-15 22:00:00
5.0,5000.0,4.3,49.0,1024.9,2021-01-15 23:00:00
3.0,6000.0,3.1,53.0,1026.4,2021-01-16 00:00:00
4.0,6000.0,2.6,50.0,1026.8,2021-01-16 01:00:00
3.0,6000.0,1.3,54.0,1028.0,2021-01-16 02:00:00
3.0,7000.0,1.1,54.0,1028.0,2021-01-16 03:00:00
2.0,6000.0,0.4,59.0,1029.0,2021-01-16 04:00:00
2.0,6000.0,-0.3,66.0,1029.4,2021-01-16 05:00:00
3.0,5000.0,-1.0,76.0,1030.2,2021-01-16 06:00:00
3.0,5000.0,-1.0,80.0,1030.8,2021-01-16 07:00:00
4.0,5000.0,-0.7,73.0,1031.1,2021-01-16 08:00:00
6.0,5000.0,0.5,66.0,1032.3,2021-01-16 09:00:00
5.0,6000.0,1.7,61.0,1032.8,2021-01-16 10:00:00
5.0,7000.0,2.3,61.0,1032.6,2021-01-16 11:00:00
4.0,8000.0,3.1,57.0,1031.3,2021-01-16 12:00:00
3.0,9000.0,3.4,55.0,1030.9,2021-01-16 13:00:00
4.0,10000.0,3.5,51.0,1030.9,2021-01-16 14:00:00
3.0,10000.0,3.6,49.0,1031.1,2021-01-16 15:00:00
