wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
7.0,10000.0,14.6,33.0,1021.7,2023-03-16 16:00:00,75,16
6.0,10000.0,13.6,43.0,1021.9,2023-03-16 17:00:00,75,17
5.0,10000.0,11.8,58.0,1021.9,2023-03-16 18:00:00,75,18
4.0,7000.0,9.7,78.0,1022.3,2023-03-16 19:00:00,75,19
7.0,10000.0,8.7,81.0,1022.3,2023-03-16 20:00:00,75,20
6.0,8000.0,7.1,86.0,1023.5,2023-03-16 21:00:00,75,21
8.0,10000.0,6.6,84.0,1022.9,2023-03-16 22:00:00,75,22
5.0,10000.0,6.3,85.0,1023.9,2023-03-16 23:00:00,75,23
5.0,10000.0,5.9,89.0,1023.1,2023-03-17 00:00:00,76,0
4.0,8000.0,5.5,92.0,1023.8,2023-03-17 01:00:00,76,1
4.0,10000.0,5.5,93.0,1024.1,2023-03-17 02:00:00,76,2
6.0,10000.0,5.1,92.0,1023.0,2023-03-17 03:00:00,76,3
5.0,10000.0,4.9,91.0,1022.8,2023-03-17 04:00:00,76,4
5.0,10000.0,4.8,90.0,1023.5,2023-03-17 05:00:00,76,5
4.0,6000.0,4.6,94.0,1024.4,2023-03-17 06:00:00,76,6
5.0,5000.0,4.6,94.0,1024.3,2023-03-17 07:00:00,76,7
5.0,10000.0,5.1,91.0,1024.9,2023-03-17 08:00:00,76,8
5.0,10000.0,5.6,88.0,1025.5,2023-03-17 09:00:00,76,9
5.0,10000.0,5.7,87.0,1025.8,2023-03-17 10:00:00,76,10
5.0,10000.0,5.8,86.0,1026.0,2023-03-17 11:00:00,76,11
5.0,5000.0,5.2,94.0,1025.4,2023-03-17 12:00:00,76,12
5.0,7000.0,5.1,93.0,1024.9,2023-03-17 13:00:00,76,13
4.0,5000.0,5.3,94.0,1024.4,2023-03-17 14:00:00,76,14
4.0,10000.0,5.7,92.0,1024.0,2023-03-17 15:00:00,76,15
