wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
2.0,10000.0,19.9,33.0,1020.1,2023-03-27 16:00:00,86,16
3.0,10000.0,19.0,30.0,1020.0,2023-03-27 17:00:00,86,17
4.0,10000.0,17.3,41.0,1020.3,2023-03-27 18:00:00,86,18
3.0,10000.0,15.7,50.0,1020.6,2023-03-27 19:00:00,86,19
3.0,10000.0,13.8,56.0,1020.9,2023-03-27 20:00:00,86,20
3.0,10000.0,12.7,63.0,1021.6,2023-03-27 21:00:00,86,21
2.0,10000.0,12.4,61.0,1021.8,2023-03-27 22:00:00,86,22
2.0,8000.0,9.5,86.0,1021.8,2023-03-27 23:00:00,86,23
2.0,10000.0,11.0,64.0,1021.9,2023-03-28 00:00:00,87,0
1.0,10000.0,10.0,71.0,1021.9,2023-03-28 01:00:00,87,1
1.0,7000.0,8.0,83.0,1021.6,2023-03-28 02:00:00,87,2
1.0,7000.0,7.4,89.0,1021.7,2023-03-28 03:00:00,87,3
2.0,6000.0,6.4,93.0,1021.5,2023-03-28 04:00:00,87,4
1.0,6000.0,7.1,87.0,1021.8,2023-03-28 05:00:00,87,5
2.0,6000.0,8.1,77.0,1022.3,2023-03-28 06:00:00,87,6
2.0,6000.0,6.1,92.0,1022.8,2023-03-28 07:00:00,87,7
2.0,6000.0,12.3,67.0,1023.2,2023-03-28 08:00:00,87,8
4.0,7000.0,15.4,52.0,1023.6,2023-03-28 09:00:00,87,9
4.0,9000.0,18.1,39.0,1024.1,2023-03-28 10:00:00,87,10
4.0,10000.0,20.6,25.0,1023.6,2023-03-28 11:00:00,87,11
5.0,10000.0,20.9,23.0,1022.9,2023-03-28 12:00:00,87,12
6.0,10000.0,22.1,19.0,1022.0,2023-03-28 13:00:00,87,13
4.0,10000.0,21.9,18.0,1021.0,2023-03-28 14:00:00,87,14
4.0,10000.0,21.7,19.0,1020.0,2023-03-28 15:00:00,87,15
