wsd,pv,t,rh,slp,BJ
3.0,10000.0,8.6,39.0,1026.0,2024-02-27 16:00:00
2.0,10000.0,8.5,39.0,1026.2,2024-02-27 17:00:00
3.0,10000.0,7.3,48.0,1026.3,2024-02-27 18:00:00
3.0,10000.0,6.1,53.0,1025.8,2024-02-27 19:00:00
2.0,10000.0,5.3,59.0,1026.4,2024-02-27 20:00:00
2.0,10000.0,4.6,62.0,1026.9,2024-02-27 21:00:00
2.0,10000.0,4.3,65.0,1027.2,2024-02-27 22:00:00
2.0,10000.0,4.0,65.0,1027.1,2024-02-27 23:00:00
3.0,10000.0,3.5,69.0,1027.2,2024-02-28 00:00:00
3.0,10000.0,3.3,71.0,1026.7,2024-02-28 01:00:00
2.0,10000.0,2.8,77.0,1026.0,2024-02-28 02:00:00
3.0,10000.0,2.8,77.0,1025.2,2024-02-28 03:00:00
2.0,10000.0,2.8,79.0,1025.0,2024-02-28 04:00:00
3.0,10000.0,3.0,79.0,1024.4,2024-02-28 05:00:00
3.0,10000.0,3.2,78.0,1024.5,2024-02-28 06:00:00
4.0,10000.0,3.2,79.0,1024.4,2024-02-28 07:00:00
4.0,10000.0,3.5,78.0,1025.2,2024-02-28 08:00:00
3.0,6000.0,3.9,78.0,1025.7,2024-02-28 09:00:00
2.0,5000.0,4.4,78.0,1026.0,2024-02-28 10:00:00
2.0,5000.0,4.9,78.0,1025.7,2024-02-28 11:00:00
2.0,5000.0,5.6,75.0,1025.5,2024-02-28 12:00:00
2.0,6000.0,6.5,75.0,1024.5,2024-02-28 13:00:00
3.0,5000.0,6.9,73.0,1024.0,2024-02-28 14:00:00
3.0,5000.0,7.6,73.0,1023.1,2024-02-28 15:00:00
