wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
5.0,4000.0,14.1,53.0,1025.8,2023-01-09 16:00:00,9,16
6.0,3200.0,11.6,64.0,1026.5,2023-01-09 17:00:00,9,17
5.0,3500.0,9.5,73.0,1027.5,2023-01-09 18:00:00,9,18
6.0,4000.0,8.5,76.0,1028.5,2023-01-09 19:00:00,9,19
4.0,4000.0,7.3,79.0,1029.3,2023-01-09 20:00:00,9,20
3.0,4000.0,6.0,83.0,1029.8,2023-01-09 21:00:00,9,21
3.0,4000.0,5.7,83.0,1029.8,2023-01-09 22:00:00,9,22
4.0,4000.0,5.1,84.0,1030.0,2023-01-09 23:00:00,9,23
3.0,5000.0,4.4,85.0,1030.0,2023-01-10 00:00:00,10,0
3.0,5000.0,3.8,87.0,1029.7,2023-01-10 01:00:00,10,1
2.0,5000.0,3.2,90.0,1029.7,2023-01-10 02:00:00,10,2
2.0,6000.0,3.9,88.0,1029.5,2023-01-10 03:00:00,10,3
4.0,8000.0,4.2,85.0,1029.1,2023-01-10 04:00:00,10,4
4.0,8000.0,4.2,83.0,1028.8,2023-01-10 05:00:00,10,5
3.0,8000.0,4.4,83.0,1029.1,2023-01-10 06:00:00,10,6
3.0,8000.0,4.1,83.0,1029.5,2023-01-10 07:00:00,10,7
3.0,8000.0,4.3,83.0,1029.8,2023-01-10 08:00:00,10,8
2.0,10000.0,4.8,81.0,1030.0,2023-01-10 09:00:00,10,9
4.0,10000.0,5.7,76.0,1030.0,2023-01-10 10:00:00,10,10
4.0,10000.0,6.2,74.0,1029.6,2023-01-10 11:00:00,10,11
3.0,8000.0,6.8,72.0,1028.5,2023-01-10 12:00:00,10,12
3.0,6000.0,7.5,69.0,1027.2,2023-01-10 13:00:00,10,13
3.0,7000.0,8.4,65.0,1026.4,2023-01-10 14:00:00,10,14
2.0,8000.0,8.9,62.0,1025.7,2023-01-10 15:00:00,10,15
