fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,1.2,2.7,-0.9,-2.6,67.0,44.4,51.9,53.8,2.2,2.4,1.9,1.9,1031.0
3,0.0,2.3,-1.0,-2.6,71.4,46.0,51.7,50.9,2.3,2.6,2.2,2.2,1031.4
6,-0.9,2.0,-0.8,-2.1,75.5,48.9,50.8,48.2,1.2,2.1,2.2,2.2,1030.3
9,-0.8,1.8,-0.4,-1.5,76.8,51.9,49.0,51.5,3.7,4.3,3.8,3.8,1028.0
12,1.1,1.8,0.2,-1.0,74.4,53.3,54.1,62.6,5.4,6.0,4.3,4.3,1027.4
15,7.9,4.9,0.9,-0.4,51.4,54.8,65.9,67.6,2.7,3.2,4.4,4.4,1026.3
18,11.0,8.4,4.1,2.0,45.5,46.4,57.9,64.8,3.5,4.6,5.3,5.3,1022.6
21,10.4,9.5,5.6,3.6,50.7,45.8,54.5,60.2,2.1,2.7,4.3,4.3,1020.8
24,5.7,8.0,5.5,3.8,70.2,55.4,57.0,61.0,7.7,8.9,7.8,7.8,1021.2
27,3.6,6.8,5.7,3.9,80.5,60.9,55.4,60.2,4.4,6.3,6.3,6.3,1021.7
30,1.6,6.4,5.5,3.8,87.0,60.5,54.1,57.3,3.4,3.8,4.1,4.1,1020.9
33,1.1,5.6,5.2,3.7,88.0,62.2,53.7,54.9,4.3,4.8,3.3,3.3,1019.9
36,3.6,5.4,5.2,3.8,80.7,62.0,52.2,50.9,4.4,4.6,2.5,2.5,1021.0
39,11.5,9.0,5.6,4.3,53.8,56.2,53.0,47.2,3.6,3.7,2.7,2.7,1020.9
42,14.1,12.1,7.7,5.6,44.6,44.1,54.7,60.5,5.7,5.6,6.2,6.2,1017.4
